date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:22	45471/45471	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2010:52:19%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html	(from )
15:52:22	1003/1003	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2010:52:20%20GMT	https://p.w3layouts.com/robots.txt		(from )
15:52:24	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202025%2010:52:25%20GMT	http://m.servedby-buysellads.com/monetization.js	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/m.servedby-buysellads.com/monetization.3.delayed	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
15:52:27	189152/189152	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Mar%202021%2005:50:15%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/assets/css/style-freedom.css	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/assets/css/style-freedom.css	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
15:52:28	78313/78313	---MCZ	200	added ('OK')	application/javascript	etag:W/%22662297620fc328d2fb335565fd03b8f6%22	https://m.servedby-buysellads.com/monetization.js	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
15:52:29	93100/93100	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
15:52:31	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
15:52:31	326/326	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2005:50:15%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/assets/images/search.png	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/assets/images/search.png	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
15:52:32	25901/25901	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2010:52:32%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/about.html	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/about.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
15:52:33	20622/20622	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2010:52:33%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/services.html	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/services.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
15:52:33	22684/22684	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2010:52:33%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/pricing.html	C:/Users/muhammad%20tanveer/OneDrive/Desktop/travel%20agency/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/pricing.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
